,countryName,Year,co2
1,Canada,1961,194182.318
8,Canada,1965,252153.921
15,Canada,1970,341485.708
22,Canada,1975,397143.434
29,Canada,1980,428547.622
36,Canada,1985,401855.529
43,Canada,1990,450076.579
50,Canada,1995,459790.462
57,Canada,2000,534483.585
64,Canada,2005,563071.517
71,Canada,2010,499137.372
2,France,1961,281211.229
9,France,1965,351852.317
16,France,1970,439013.24
23,France,1975,446919.292
30,France,1980,505363.938
37,France,1985,400880.107
44,France,1990,399028.272
51,France,1995,393289.417
58,France,2000,365559.563
65,France,2005,392071.973
72,France,2010,361272.84
3,Germany,1961,806703.33
10,Germany,1965,806703.33
17,Germany,1970,806703.33
24,Germany,1975,806703.33
31,Germany,1980,806703.33
38,Germany,1985,806703.33
45,Germany,1990,806703.33
52,Germany,1995,864110.215
59,Germany,2000,829977.779
66,Germany,2005,806703.33
73,Germany,2010,745383.756
4,Italy,1961,124549.655
11,Italy,1965,189767.25
18,Italy,1970,296740.974
25,Italy,1975,342310.783
32,Italy,1980,388969.691
39,Italy,1985,372134.494
46,Italy,1990,417550.289
53,Italy,1995,430307.782
60,Italy,2000,451440.703
67,Italy,2005,473380.364
74,Italy,2010,406307.267
5,Japan,1961,283118.069
12,Japan,1965,386919.838
19,Japan,1970,768823.22
26,Japan,1975,870072.757
33,Japan,1980,947571.135
40,Japan,1985,915396.877
47,Japan,1990,1094834.188
54,Japan,1995,1183945.955
61,Japan,2000,1219589.195
68,Japan,2005,1238180.885
75,Japan,2010,1170715.419
6,United Kingdom,1961,588938.535
13,United Kingdom,1965,622619.93
20,United Kingdom,1970,653063.364
27,United Kingdom,1975,603643.205
34,United Kingdom,1980,579290.658
41,United Kingdom,1985,559855.558
48,United Kingdom,1990,571050.909
55,United Kingdom,1995,555667.844
62,United Kingdom,2000,543662.086
69,United Kingdom,2005,541986.267
76,United Kingdom,2010,493504.86
7,United States,1961,2880505.507
14,United States,1965,3390922.571
21,United States,1970,4328904.501
28,United States,1975,4406329.539
35,United States,1980,4721170.825
42,United States,1985,4486460.823
49,United States,1990,4768137.761
56,United States,1995,5156168.7
63,United States,2000,5713560.034
70,United States,2005,5826393.624
77,United States,2010,5433056.536
